id,name,price,brand,sell,rating,volume
168264301,Лонгслив демисезонный хлопковый однотонный,75400,O'STIN,46,4.5,50
176595383,Джинсы карго,150800,O'STIN,46,5,87
176349916,Куртка,485000,O'STIN,46,4.8,211
176595394,Брюки трикотажные,96900,O'STIN,46,4.6,51
171767448,Прямые женские брюки со стрелками,161600,O'STIN,46,4.8,26
171767381,Брюки демисезонные текстильные на молнии,140000,O'STIN,46,4.7,44
166269929,Трусы мужские набор 2шт. боксеры,64600,O'STIN,46,4.9,18
170124261,Трусы,80000,O'STIN,38,4.7,4
173470471,Мужское утепленное прямое пальто с воротником-стойкой,538900,O'STIN,46,4.4,529
178245647,Базовый джемпер с V-образным вырезом,107700,O'STIN,46,4.7,21
171767370,Мужской джемпер с воротником-стойкой,129300,O'STIN,46,4.9,51
170108291,Джемпер в полоску с длинными рукавами,140000,O'STIN,46,4.8,33
178949221,Брюки трикотажные демисезонные,86100,O'STIN,46,4.5,45
169765365,Спортивные брюки для мальчиков,75400,O'STIN,46,4.4,34
172718488,Джинсы в стиле Workwear для мальчиков,147700,O'STIN,38,5,20
178949179,Брюки демисезонные трикотажные с принтом,96900,O'STIN,46,4.7,36
181350023,Пальто,485000,O'STIN,46,4.7,176
176595380,Толстовка на молнии,86100,O'STIN,46,5,60
173498624,Шапка без отворота,53800,O'STIN,46,4.9,7
173470457,Утепленная мужская стеганая куртка с капюшоном,307900,O'STIN,38,4.7,220
171767211,"ЮбкаЖенская юбка-труба, длина миди",160000,O'STIN,38,4.7,37
169646487,Футболка хлопковая с короткими рукавами,61500,O'STIN,38,4.7,26
172196436,Водолазка женская с горлом базовая стильная,75400,O'STIN,46,4.4,51
170108232,Мужская рубашка с принтом,147700,O'STIN,38,4.9,37
178968932,Варежки текстильные демисезонные,52400,O'STIN,47,5,30
176595395,Толстовка с капюшоном,107700,O'STIN,46,4.7,36
175627913,Свитер,96900,O'STIN,46,4.9,61
169729903,Оверсайз футболка с принтом,49200,O'STIN,38,4.8,18
172718528,Брюки трикотажные демисезонные,107700,O'STIN,46,4.4,28
176595358,Куртка,485000,O'STIN,46,4.6,258
168264257,Мужская рубашка с длинным рукавом,96900,O'STIN,46,4.7,73
176595357,Куртка,485000,O'STIN,46,4.6,258
170108317,Толстовка с воротом для девочек,64600,O'STIN,46,4.9,17
171767449,Мужские вельветовые брюки,161600,O'STIN,46,4.8,75
176595384,Свитер,86100,O'STIN,46,4.9,48
172718559,Женские брюки из экокожи,107700,O'STIN,46,4.5,25
167276594,Трикотажная толстовка с принтом,64600,O'STIN,46,5,25
120188914,Джинсы мужские прямые свободные,246300,O'STIN,38,4.8,79
178245677,Джемепер,161600,O'STIN,46,4.8,44
164533622,Футболка женская оверсайз со стразами,73800,O'STIN,38,4.7,34
171767327,Худи однотонное трикотажное с капюшоном,160000,O'STIN,38,4.8,160
174340429,Парка,431100,O'STIN,38,4.5,316
173470376,Мужские джинсы-слоучи,246300,O'STIN,38,4.8,98
178245646,Куртка,431100,O'STIN,46,4.8,267
178245768,Базовый джемпер с круглым вырезом,107700,O'STIN,46,4.8,33
171767121,Укороченный женский джемпер,140000,O'STIN,46,4.8,37
170124240,"Трусы-боксеры, комплект 2 шт",70000,O'STIN,46,4.8,6
172718563,Женские широкие джинсы со средней посадкой,177800,O'STIN,46,4.8,43
171767138,Укороченный женский джемпер,140000,O'STIN,46,4.8,34
169729895,Короткая футболка с принтом для девочки,43000,O'STIN,38,5,19
174340415,Пальто,323300,O'STIN,46,4.8,149
171767173,Куртка демисезонная текстильная на кнопках с капюшоном,269400,O'STIN,46,4.7,216
171767157,Укороченный женский джемпер,140000,O'STIN,46,4.8,32
176349912,Куртка,377200,O'STIN,46,3.9,185
178245696,Джемпер,123900,O'STIN,46,4.7,44
172718568,Джинсы на трикотажной подкладке для мальчиков,96900,O'STIN,46,4.8,32
170108268,Лонгслив хлопковый в полоску с длинными рукавами,86100,O'STIN,38,4.8,56
171767070,Джинсы демисезонные зауженные на молнии,184700,O'STIN,38,4.7,47
169089741,Джемпер в полоску с длинными рукавами,140000,O'STIN,46,4.8,49
177372150,Джинсы утепленные зауженные,193900,O'STIN,46,4.8,64
171767360,Джемпер демисезонный трикотажный однотонный,141600,O'STIN,38,4.7,52
172718577,Джинсы демисезонные на молнии,161600,O'STIN,46,4.6,23
177372151,Платье миди прямое вязаное,215500,O'STIN,46,4.8,84
14914801,Водолазка женская с горлом базовая стильная,75400,O'STIN,46,4.4,51
171767205,Женский джемпер в полоску на пуговицах,140000,O'STIN,46,4.8,41
178245657,Брюки карго текстильные демисезонные,177800,O'STIN,46,4.9,71
169089793,Водолазка с горлом и длинными рукавами,129300,O'STIN,46,4.8,113
171767375,Джемпер демисезонный трикотажный однотонный,141600,O'STIN,38,4.7,46
171767397,Джинсы демисезонные на молнии,161600,O'STIN,46,4.6,67
171767188,"Женская юбка-труба, длина миди",160000,O'STIN,38,4.7,53
14914792,Водолазка женская с горлом базовая стильная,75400,O'STIN,46,4.4,51
170108206,Женский джемпер вязаный теплый,150800,O'STIN,46,4.6,74
177372142,Платье миди трикотажное на пуговицах,107700,O'STIN,46,4.6,41
171767127,Удлиненный женский джемпер-анорак,150800,O'STIN,46,4.6,60
178245586,Куртка,323300,O'STIN,46,4.8,324
172572168,Мужские вельветовые брюки,161600,O'STIN,46,4.8,75
175627900,Толстовка трикотажная с принтом,75400,O'STIN,46,5,16
175144522,Шапка,43000,O'STIN,46,4.6,10
170108195,Худи,147700,O'STIN,38,4.6,94
172718565,Джинсы хлопковые демисезонные для мальчиков,147700,O'STIN,38,4.7,40
178245585,Куртка демисезонная на молнии с капюшоном,323300,O'STIN,46,4.8,331
173470412,Мужская водолазка с высоким воротником-стойкой,129300,O'STIN,46,4.8,99
164533630,Джемпер,107700,O'STIN,46,4.5,104
171984613,Жакет-бомбер на молнии,193900,O'STIN,46,4.9,117
175631207,"Трусы-хипстеры с кружевом и с принтом, комплект 2 шт",53800,O'STIN,46,4.7,6
171767430,Женские джинсы Bootcut со средней посадкой,161600,O'STIN,46,4.5,39
173470475,Прямые женские брюки из поливискозы,150800,O'STIN,46,4.9,64
168282168,Сумка кросс-боди,132500,O'STIN,49,4.9,59
